Station Name,Street Address,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,EV Connector Types,Facility Type
Star Nissan,20602 Northern Blvd,11361,1.0,0.0,Non-Networked,40.758245,-73.776954,J1772,CAR_DEALER
Kings Nissan,2758 Coney Island Ave,11235,1.0,0.0,Non-Networked,40.589167,-73.960707,J1772,CAR_DEALER
Nissan of Queens,9325 Rockaway Blvd,11417,1.0,0.0,Non-Networked,40.68106,-73.84554,J1772,CAR_DEALER
Dana Ford Lincoln,266 W Service Rd,10314,1.0,0.0,Non-Networked,40.587162,-74.194747,J1772,CAR_DEALER
Bay Ridge Municipal Parking Garage,8501 5th Ave,11209,5.0,0.0,EV Connect,40.621698,-74.02567,J1772,
St. George Courthouse,54 Central Ave,10301,3.0,0.0,EV Connect,40.639469,-74.076912,J1772,
Koeppel Nissan,74-15 Northern Blvd,11372,2.0,1.0,Non-Networked,40.755072,-73.892094,CHADEMO J1772 J1772COMBO,CAR_DEALER
Jerome 190th Street Municipal Parking,2478 Jerome Avenue,10468,5.0,0.0,EV Connect,40.86334,-73.900066,J1772,
Nissan of Staten Island,1976 Hylan Blvd,10306,1.0,0.0,Non-Networked,40.581432,-74.097694,J1772,CAR_DEALER
Mott Street Parking - Tesla Supercharger,106 Mott Street,10013,0.0,2.0,Tesla,40.717522,-73.997302,TESLA,
W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,10023,0.0,4.0,Tesla,40.780976,-73.980414,TESLA,
E 47th Street - Tesla Supercharger,212 East 47th Street,10017,0.0,4.0,Tesla,40.753356,-73.971685,TESLA,
WCS NS1 BOSTON RD,Boston Rd,10460,1.0,0.0,ChargePoint Network,40.846205,-73.876513,J1772,
Astoria Central Parking - Tesla Destination,31-57 31st St,11106,4.0,0.0,Tesla Destination,40.762502,-73.924507,TESLA,PAY_GARAGE
Century Parking Corp - Tesla Destination,2600 Netherland Ave,10463,4.0,0.0,Tesla Destination,40.878532,-73.916201,TESLA,PAY_GARAGE
Standard Parking 1360 Fulton Street - Tesla Destination,1360 Fulton St,11216,2.0,0.0,Tesla Destination,40.680168,-73.946022,TESLA,PAY_GARAGE
Standard Parking 15 Metrotech - Tesla Destination,15 Metrotech Ctr S,11201,3.0,0.0,Tesla Destination,40.693999,-73.983809,J1772 TESLA,PAY_GARAGE
Quik Park Armory Parking Inc. - Tesla Destination,172 Vanderbilt,11205,2.0,0.0,Tesla Destination,40.692635,-73.969935,TESLA,PAY_GARAGE
Discount Parking 180 Ashland Place - Tesla Destination,180 Ashland Pl,11217,2.0,0.0,Tesla Destination,40.689457,-73.978606,TESLA,PAY_GARAGE
iPark 22/34 N 6th Garage Corp - Tesla Destination,22 N 5th St,11211,4.0,0.0,Tesla Destination,40.719338,-73.963081,J1772 TESLA,PAY_GARAGE
Parkright 257 Gold Street - Tesla Destination,257 Gold St,11201,3.0,0.0,Tesla Destination,40.696848,-73.983071,J1772 TESLA,HOTEL
Standard Parking Pierepoint Plaza - Tesla Destination,300 Cadman,11201,3.0,0.0,Tesla Destination,40.695115,-73.990993,J1772 TESLA,PAY_GARAGE
Enterprise 309 Gold Street - Tesla Destination,309 Gold St,11201,3.0,0.0,Tesla Destination,40.694841,-73.982849,J1772 TESLA,HOTEL
Standard Parking 1 Metrotech - Tesla Destination,351 Jay St,11201,3.0,0.0,Tesla Destination,40.69306,-73.987222,J1772 TESLA,PAY_GARAGE
GGMC Belltel Car Park - Tesla Destination,356 Bridge St,11201,3.0,0.0,Tesla Destination,40.692579,-73.985252,J1772 TESLA,PAY_GARAGE
Quik Park 365 Management LLC - Tesla Destination,365 Bond St,11231,3.0,0.0,Tesla Destination,40.677412,-73.990986,J1772 TESLA,PAY_GARAGE
GMC 388 Bridge Street - Tesla Destination,388 Bridge St,11201,3.0,0.0,Tesla Destination,40.691469,-73.985446,TESLA,PAY_GARAGE
Quik Park Brooklyn Bridge LLC - Tesla Destination,4 Joralemon St,11201,3.0,0.0,Tesla Destination,40.692941,-74.000298,J1772 TESLA,PAY_GARAGE
Rapidpark 44 State Street - Tesla Destination,44 State St,11201,3.0,0.0,Tesla Destination,40.692062,-73.99816,J1772 TESLA,PAY_GARAGE
Park Kwik LLC 50 Washington St. - Tesla Destination,45 Main St,11201,3.0,0.0,Tesla Destination,40.702882,-73.990594,J1772 TESLA,PAY_GARAGE
Kings County Parking - Tesla Destination,581 Clarkson Ave,11203,2.0,0.0,Tesla Destination,40.65601,-73.940902,TESLA,PAY_GARAGE
1 Hotel Brooklyn Bridge - Tesla Destination,60 Furman St,11201,7.0,0.0,Tesla Destination,40.701461,-73.995566,J1772 TESLA,HOTEL
"Littleman Driggs Parking, LLC - Tesla Destination",626 Driggs Ave,11211,3.0,0.0,Tesla Destination,40.715033,-73.958595,J1772 TESLA,PAY_GARAGE
GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,66 Rockwell Pl,11217,3.0,0.0,Tesla Destination,40.688086,-73.979234,J1772 TESLA,PAY_GARAGE
Standard Parking 200 Cadman Plaza West - Tesla Destination,75 Henry St,11221,3.0,0.0,Tesla Destination,40.698707,-73.992365,J1772 TESLA,PAY_GARAGE
GGMC Parking 75 Smith St Garage - Tesla Destination,75 Smith St,11201,3.0,0.0,Tesla Destination,40.689016,-73.988672,J1772 TESLA,PAY_GARAGE
Standard Parking 2 Metrotech - Tesla Destination,8 Metrotech Ctr S,11201,3.0,0.0,Tesla Destination,40.693122,-73.985696,J1772 TESLA,PAY_GARAGE
Quik Park 81 Fleet Place LLC - Tesla Destination,81 Fleet Pl,11201,3.0,0.0,Tesla Destination,40.693248,-73.981744,J1772 TESLA,PAY_GARAGE
Rapidpark 906 Union Street - Tesla Destination,906 Union St,11215,3.0,0.0,Tesla Destination,40.672884,-73.971541,J1772 TESLA,PAY_GARAGE
MPG 100 Jay Street - Tesla Destination,100 Jay St,10021,3.0,0.0,Tesla Destination,40.702194,-73.98672,J1772 TESLA,PAY_GARAGE
imPark 101 Bedford Ave - Tesla Destination,101 Bedford Ave,11211,3.0,0.0,Tesla Destination,40.719751,-73.954866,J1772 TESLA,PAY_GARAGE
Hampton Inn LaGuardia Airport - Tesla Destination,102-40 Ditmars Blvd,11369,1.0,0.0,Tesla Destination,40.767948,-73.867784,TESLA,HOTEL
MPG The Shops at Skyview - Tesla Destination,40-24 College Point Blvd,11354,3.0,0.0,Tesla Destination,40.75674,-73.836223,TESLA,PAY_GARAGE
Sylvan Pinnacle Garage - Tesla Destination,112-01 Queens Blvd,11375,4.0,0.0,Tesla Destination,40.718526,-73.83648,TESLA,PAY_GARAGE
MPG 1-50 51st Ave - Tesla Destination,1-50 51st Ave,11101,4.0,0.0,Tesla Destination,40.743049,-73.959245,TESLA,PAY_GARAGE
iPark 43-25 Hunter Street - Tesla Destination,43-25 Hunter St,11101,8.0,0.0,Tesla Destination,40.747589,-73.942612,TESLA,PAY_GARAGE
Little Man Parking (Queens West) - Tesla Destination,4-76 47th Ave,11109,3.0,0.0,Tesla Destination,40.745627,-73.955638,J1772 TESLA,PAY_GARAGE
Icon Parking 235 W 48th - Tesla Destination,235 W 48th St,10036,4.0,0.0,Tesla Destination,40.76073,-73.985995,TESLA,PAY_GARAGE
Icon Parking 360 E 65th - Tesla Destination,360 E 65th St,10065,4.0,0.0,Tesla Destination,40.766853,-73.967711,TESLA,PAY_GARAGE
Icon Parking 205 E 63rd St - Tesla Destination,205 E 63rd St,10065,2.0,0.0,Tesla Destination,40.763981,-73.964368,TESLA,PAY_GARAGE
MPG 10 E 102nd Street - Tesla Destination,10 E 102nd St,10029,3.0,0.0,Tesla Destination,40.79136,-73.952155,J1772 TESLA,PAY_GARAGE
Rapidpark 10 E 30th Street - Tesla Destination,10 E 30th St,10016,3.0,0.0,Tesla Destination,40.74556,-73.985539,J1772 TESLA,PAY_GARAGE
Icon Parking 1056 5th Avenue - Tesla Destination,10 E 87th St,10028,3.0,0.0,Tesla Destination,40.782031,-73.959484,J1772 TESLA,PAY_GARAGE
iPark 10 West 15th - Tesla Destination,10 W 15th,10011,3.0,0.0,Tesla Destination,40.737171,-73.994331,J1772 TESLA,PAY_GARAGE
GGMC Parking 10 W 66th St Garage - Tesla Destination,10 W 66th St,10023,2.0,0.0,Tesla Destination,40.772742,-73.979503,TESLA,PAY_GARAGE
GGMC Parking Union Square Parking Garage - Tesla Destination,100 E 15th St,10003,6.0,0.0,Tesla Destination,40.734939,-73.989409,J1772 TESLA,PAY_GARAGE
Icon Parking 100 Riverside Blvd. - Tesla Destination,100 Riverside Blvd,10024,3.0,0.0,Tesla Destination,40.775474,-73.989763,J1772 TESLA,PAY_GARAGE
Rapidpark 600 Columbus Ave-QBDestinationSiteID52405 - Tesla Destination,100 W 89th,10024,3.0,0.0,Tesla Destination,40.788614,-73.97118,J1772 TESLA,PAY_GARAGE
Champion Parking E 16th Street - Tesla Destination,101 E 16th St,10003,3.0,0.0,Tesla Destination,40.735736,-73.988745,J1772 TESLA,PAY_GARAGE
Icon Parking 101 W 15th - Tesla Destination,101 W 15th St,10011,4.0,0.0,Tesla Destination,40.738371,-73.99688,TESLA,PAY_GARAGE
iPark NYC 88th Street Garage - Tesla Destination,101 W 88th St,10024,3.0,0.0,Tesla Destination,40.788008,-73.971611,J1772 TESLA,PAY_GARAGE
Icon Parking 101 West End Ave - Tesla Destination,101 West End Ave,10023,3.0,0.0,Tesla Destination,40.775065,-73.988572,J1772 TESLA,PAY_GARAGE
ABM Parking 475 Park Ave South LLC - Tesla Destination,104 E 32nd St,10016,2.0,0.0,Tesla Destination,40.745603,-73.98185,TESLA,PAY_GARAGE
Rapidpark 99 Park Ave - Tesla Destination,105 E 39th,10016,3.0,0.0,Tesla Destination,40.750013,-73.978525,J1772 TESLA,PAY_GARAGE
iPark 107 West 13th Street - Tesla Destination,107 W 13th St,10011,3.0,0.0,Tesla Destination,40.736973,-73.99787,J1772 TESLA,PAY_GARAGE
Icon Parking 11 5th Ave - Tesla Destination,11 5th Ave,10003,3.0,0.0,Tesla Destination,40.732085,-73.995829,J1772 TESLA,PAY_GARAGE
iPark NYC 1025 83rd - Tesla Destination,11 E 83rd St,10028,3.0,0.0,Tesla Destination,40.779211,-73.960949,J1772 TESLA,PAY_GARAGE
GMC 111 E 82nd St - Tesla Destination,111 E 82nd St,10065,3.0,0.0,Tesla Destination,40.77735,-73.958352,J1772 TESLA,PAY_GARAGE
iPark 112 E 65th Street - Tesla Destination,112 E 65th St,10065,3.0,0.0,Tesla Destination,40.766495,-73.9667,J1772 TESLA,PAY_GARAGE
Quik Park 1133 Garage LLC - Tesla Destination,1133 6th Ave,10036,3.0,0.0,Tesla Destination,40.755856,-73.984313,J1772 TESLA,PAY_GARAGE
iPark 1510 Lex Garage Corp. - Tesla Destination,116 E 98th St,10029,3.0,0.0,Tesla Destination,40.787402,-73.950546,TESLA,PAY_GARAGE
ABM Parking 750 Lexington Ave LLC - Tesla Destination,118 E 60th St,10022,3.0,0.0,Tesla Destination,40.76306,-73.968409,TESLA,PAY_GARAGE
Icon Parking 12 East 9th Street - Tesla Destination,12 E 9th St,10003,3.0,0.0,Tesla Destination,40.732519,-73.995135,J1772 TESLA,PAY_GARAGE
MPG 121 Reade Street - Tesla Destination,121 Reade St,10013,3.0,0.0,Tesla Destination,40.716268,-74.009491,J1772 TESLA,PAY_GARAGE
GMC Parking Narragansett - Tesla Destination,124 E 63rd St,10065,3.0,0.0,Tesla Destination,40.7758,-73.95087,J1772 TESLA,PAY_GARAGE
Rapidpark 124 W 20th Street - Tesla Destination,124 W 20th St,10011,3.0,0.0,Tesla Destination,40.741554,-73.995403,J1772 TESLA,HOTEL
Quik Park Garden Lots LLC - Tesla Destination,126 West 32nd St,10001,3.0,0.0,Tesla Destination,40.749073,-73.990032,J1772 TESLA,PAY_GARAGE
ABM Parking 13 East 54th Street LLC - Tesla Destination,13-17 E 54th St,10022,2.0,0.0,Tesla Destination,40.760648,-73.974193,TESLA,PAY_GARAGE
New York Hilton Midtown - Tesla Destination,1335 Avenue of the Americas,10019,2.0,0.0,Tesla Destination,40.762234,-73.979036,TESLA,HOTEL
Icon Parking 1350 Avenue of the Americas - Tesla Destination,1350 6th Ave,10019,3.0,0.0,Tesla Destination,40.762855,-73.977795,J1772 TESLA,PAY_GARAGE
Icon Parking 14-26 William Street - Tesla Destination,14-26 William St,10004,3.0,0.0,Tesla Destination,40.704514,-74.01074,J1772 TESLA,PAY_GARAGE
Icon Parking OMNI - Tesla Destination,143-159 W 68th St,10023,3.0,0.0,Tesla Destination,40.77592,-73.98313,J1772 TESLA,PAY_GARAGE
Rapidpark 148 E 33rd Street - Tesla Destination,148 E 33rd St,10016,3.0,0.0,Tesla Destination,40.745432,-73.97956,J1772 TESLA,PAY_GARAGE
Rapidpark 15 W 72nd Street - Tesla Destination,15 W 72nd St,10023,3.0,0.0,Tesla Destination,40.776813,-73.977083,J1772 TESLA,PAY_GARAGE
Icon Parking 150 Charles Street - Tesla Destination,150 Charles St,10014,3.0,0.0,Tesla Destination,40.734006,-74.009079,J1772 TESLA,PAY_GARAGE
Rapidpark 150 East 77th Street - Tesla Destination,150 E 77th St,10021,3.0,0.0,Tesla Destination,40.773256,-73.959334,J1772 TESLA,PAY_GARAGE
Standard Parking 151 W 17th Street - Tesla Destination,151 W 17th St,10011,3.0,0.0,Tesla Destination,40.740243,-73.997591,J1772 TESLA,PAY_GARAGE
Icon Parking 155 E 29th Street - Tesla Destination,155 E 29th St,10016,3.0,0.0,Tesla Destination,40.742821,-73.980913,J1772 TESLA,HOTEL
City Parking Garment One Garage - Tesla Destination,155 E 34th St,10016,3.0,0.0,Tesla Destination,40.746022,-73.978693,J1772 TESLA,PAY_GARAGE
Prime Parking Systems - 155 E 68th Street - Tesla Destination,155 E 68th St,10065,3.0,0.0,Tesla Destination,40.767743,-73.963665,J1772 TESLA,PAY_GARAGE
Champion Parking W 53rd Street - Tesla Destination,159 W 53rd St,10019,3.0,0.0,Tesla Destination,40.763279,-73.98086,J1772 TESLA,PAY_GARAGE
Icon Parking 16 W 16th Street - Tesla Destination,16 W 16th St,10011,3.0,0.0,Tesla Destination,40.737891,-73.994058,J1772 TESLA,PAY_GARAGE
GGMC Parking Alfred - Tesla Destination,161 W 61st St,10023,3.0,0.0,Tesla Destination,40.771555,-73.986428,J1772 TESLA,PAY_GARAGE
iPark NYC E 77th Street - Tesla Destination,165 E 77th St,10014,3.0,0.0,Tesla Destination,40.773415,-73.959234,J1772 TESLA,PAY_GARAGE
Parkright 169 Ludlow Street - Tesla Destination,169 Ludlow St,10012,3.0,0.0,Tesla Destination,40.721713,-73.987533,J1772 TESLA,PAY_GARAGE
Icon Parking 169 W 95th Street - Tesla Destination,169 W 95th St,10025,3.0,0.0,Tesla Destination,40.793158,-73.970319,J1772 TESLA,PAY_GARAGE
Residence Inn New York Manhattan - Tesla Destination,1717 Broadway,10019,2.0,0.0,Tesla Destination,40.764261,-73.982974,J1772 TESLA,HOTEL
Quikpark 173 W 12th Street - Tesla Destination,173 W 12th St,10011,3.0,0.0,Tesla Destination,40.737108,-74.000358,J1772 TESLA,PAY_GARAGE
Quik Park Hudson 180 LLC - Tesla Destination,180 Riverside Blvd,10069,3.0,0.0,Tesla Destination,40.778412,-73.988294,J1772 TESLA,PAY_GARAGE
iPark NYC 183 E 73rd Street - Tesla Destination,184 E 73rd St,10021,3.0,0.0,Tesla Destination,40.770601,-73.960531,J1772 TESLA,HOTEL
Icon Parking 240 East Broadway - Tesla Destination,188 Clinton St,10002,3.0,0.0,Tesla Destination,40.714821,-73.987138,J1772 TESLA,PAY_GARAGE
Glenwood Grand Tier Parking - Tesla Destination,1930 Broadway,10023,2.0,0.0,Tesla Destination,40.772574,-73.981951,TESLA,PAY_GARAGE
Standard Parking 20 W 13th Street - Tesla Destination,20 W 13th St,10011,3.0,0.0,Tesla Destination,40.735706,-73.995058,J1772 TESLA,PAY_GARAGE
Central Parking 200 Chambers - Tesla Destination,200 Chambers St,10007,3.0,0.0,Tesla Destination,40.716256,-74.012543,J1772 TESLA,PAY_GARAGE
Icon Parking 200 E 32nd Street - Tesla Destination,200 E 32nd St,10016,3.0,0.0,Tesla Destination,40.744916,-73.980228,J1772 TESLA,PAY_GARAGE
Icon Parking 200 E 65th Street - Tesla Destination,200 E 65th St,10021,3.0,0.0,Tesla Destination,40.765108,-73.963389,J1772 TESLA,PAY_GARAGE
Enterprise Parking 200 E 69th St - Tesla Destination,200 E 69th St,10065,2.0,0.0,Tesla Destination,40.767615,-73.961509,TESLA,PAY_GARAGE
iPark 200 E 70th Street - Tesla Destination,200 E 70th St,10021,3.0,0.0,Tesla Destination,40.768283,-73.961149,J1772 TESLA,PAY_GARAGE
iPark NYC The Carnegie Garage - Tesla Destination,200 E 94th St,10128,3.0,0.0,Tesla Destination,40.783536,-73.949507,J1772 TESLA,PAY_GARAGE
GMC Copley Parking - Tesla Destination,2000 Broadway,10023,3.0,0.0,Tesla Destination,40.775283,-73.981627,TESLA,PAY_GARAGE
MPG 201 E 56th - Tesla Destination,201 E 56th,10022,3.0,0.0,Tesla Destination,40.759437,-73.96767,J1772 TESLA,PAY_GARAGE
Icon Parking 203 E 61 Street - Tesla Destination,203 E 61 St,10021,3.0,0.0,Tesla Destination,40.762678,-73.965447,J1772 TESLA,PAY_GARAGE
Rapidpark 204 W 101st Street - Tesla Destination,204 W 101st St,10025,3.0,0.0,Tesla Destination,40.797359,-73.968718,J1772 TESLA,PAY_GARAGE
Champion Parking W 76th Street - Tesla Destination,205 W 76th St,10023,3.0,0.0,Tesla Destination,40.781547,-73.980475,J1772 TESLA,PAY_GARAGE
Icon Parking 810 Seventh Ave - Tesla Destination,207 W 52nd St,10019,3.0,0.0,Tesla Destination,40.762568,-73.982718,J1772 TESLA,PAY_GARAGE
Standard Parking 21 East 15th Street - Tesla Destination,21 E 15th St,10003,3.0,0.0,Tesla Destination,40.736293,-73.991939,J1772 TESLA,PAY_GARAGE
Rapidpark 210 W 102nd Street - Tesla Destination,210 W 102st St,10025,3.0,0.0,Tesla Destination,40.798108,-73.968204,J1772 TESLA,PAY_GARAGE
Champion Parking 74 LLC - Tesla Destination,2109 Broadway,10023,3.0,0.0,Tesla Destination,40.780027,-73.982823,J1772 TESLA,PAY_GARAGE
GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,217 E 44th St,10017,3.0,0.0,Tesla Destination,40.751867,-73.972873,J1772 TESLA,PAY_GARAGE
Icon Parking 220 Riverside Blvd - Tesla Destination,220 Riverside Blvd,10024,6.0,0.0,Tesla Destination,40.779338,-73.987493,J1772 TESLA,PAY_GARAGE
iPark 200 West Garage Corp. - Tesla Destination,220 W 26th St,10001,3.0,0.0,Tesla Destination,40.746304,-73.995064,J1772 TESLA,PAY_GARAGE
Parkit 221 Thompson Street - Tesla Destination,221 Thompson St,10012,3.0,0.0,Tesla Destination,40.729234,-73.999013,J1772 TESLA,PAY_GARAGE
Icon Parking 225 W 83 Street - Tesla Destination,225 W 83rd St,10024,3.0,0.0,Tesla Destination,40.786099,-73.977303,J1772 TESLA,PAY_GARAGE
Quik Park Broadway Garage LLC - Tesla Destination,225-251 W 56th St,10019,3.0,0.0,Tesla Destination,40.765844,-73.982481,J1772 TESLA,PAY_GARAGE
GGMC Yorkville Car Park - Tesla Destination,230 E 92nd St,10128,3.0,0.0,Tesla Destination,40.782212,-73.95023,J1772 TESLA,PAY_GARAGE
Champion Parking 230 W 55th Street - Tesla Destination,230 W 55th St,10019,3.0,0.0,Tesla Destination,40.764748,-73.982676,J1772 TESLA,PAY_GARAGE
Icon Parking 237 West Thames - Tesla Destination,237 W Thames,10280,3.0,0.0,Tesla Destination,40.708165,-74.016641,J1772 TESLA,PAY_GARAGE
Icon 299 Peal Street Seaport Parking - Tesla Destination,238 Pearl St,10069,3.0,0.0,Tesla Destination,40.707679,-74.004687,J1772 TESLA,PAY_GARAGE
iPark 245 East 63rd Street - Tesla Destination,245 East 63rd St,10025,3.0,0.0,Tesla Destination,40.76332,-73.962938,J1772 TESLA,PAY_GARAGE
GGMC Ruppert Car Park - Tesla Destination,245 E 90th St,10128,3.0,0.0,Tesla Destination,40.78098,-73.951145,J1772 TESLA,PAY_GARAGE
iPark NYC 246 E 45 Street - Tesla Destination,246 E 45th St,10017,3.0,0.0,Tesla Destination,40.751847,-73.971348,J1772 TESLA,PAY_GARAGE
iPark NYC 250 West Parking - Tesla Destination,250 W 19th St,10011,3.0,0.0,Tesla Destination,40.742407,-73.999351,J1772 TESLA,PAY_GARAGE
Quik Park Columbia Garage LLC - Tesla Destination,250 W. 97th St,10025,3.0,0.0,Tesla Destination,40.795624,-73.971961,J1772 TESLA,PAY_GARAGE
Quik Park 40 Riverside Blvd - Tesla Destination,251 W 62nd St,10282,3.0,0.0,Tesla Destination,40.77373,-73.989713,J1772 TESLA,PAY_GARAGE
Rapidpark 25-27 Beekman Street - Tesla Destination,25-27 Beekman St,10038,3.0,0.0,Tesla Destination,40.710786,-74.006017,J1772 TESLA,PAY_GARAGE
Rapidpark 254 W 79th Street - Tesla Destination,254 W 79th St,10024,3.0,0.0,Tesla Destination,40.78411,-73.980641,J1772 TESLA,PAY_GARAGE
MPG 266 E 97 St - Tesla Destination,266 E 97th St,10021,3.0,0.0,Tesla Destination,40.785296,-73.947487,J1772 TESLA,PAY_GARAGE
Parkit 27 N Moore Street - Tesla Destination,27 N Moore St,10013,3.0,0.0,Tesla Destination,40.719869,-74.007447,J1772 TESLA,PAY_GARAGE
iPark 455 Central Park West - Tesla Destination,27 W 105th St,10025,3.0,0.0,Tesla Destination,40.797743,-73.960441,J1772 TESLA,PAY_GARAGE
Standard Parking 270 Greenwich - Tesla Destination,270 Greenwich St,10007,3.0,0.0,Tesla Destination,40.715071,-74.012203,J1772 TESLA,PAY_GARAGE
Icon Parking 279 East 65th Street - Tesla Destination,279 E 65th St,10065,3.0,0.0,Tesla Destination,40.764552,-73.962034,J1772 TESLA,PAY_GARAGE
